Country,Number_of_Students,Latitude,Longitude
Armenia,8015,4.536307,-75.6723751
Australia,100009,-24.7761086,134.755
Austria,350,47.59397,14.12456
Azerbaijan,119,40.3936294,47.7872508
Bangladesh,9308,24.4769288,90.2934413
Belarus,793,53.4250605,27.6971358
Belgium,766,50.6402809,4.6667145
Botswana,200,-23.1681782,24.5928742
Brazil,6,-10.3333333,-53.2
Brunei Darussalam,38,4.4137155,114.5653908
Bulgaria,357,42.6073975,25.4856617
Canada,183310,61.0666922,-107.991707
China,6436,35.0000663,104.999955
Cuba,1,23.0131338,-80.8328748
Cyprus,1961,34.9174159,32.889902651331866
Czech Republic,1500,49.7439047,15.3381061
Denmark,413,55.670249,10.3333283
Egypt,400,26.2540493,29.2675469
Estonia,138,58.7523778,25.3319078
Finland,519,63.2467777,25.9209164
France,10003,46.603354,1.8883335
Georgia,14000,32.3293809,-83.1137366
Germany,34864,51.1638175,10.4478313
Greece,48,38.9953683,21.9877132
Guyana,498,4.8417097,-58.6416891
Hong Kong,815,22.350627,114.1849161
Hungary,932,47.1817585,19.5060937
Iceland,16,64.9841821,-18.1059013
Indonesia,1,-2.4833826,117.8902853
Iran,2050,32.6475314,54.5643516
Ireland,5000,52.865196,-7.9794599
Israel,1218,30.8124247,34.8594762
Italy,5897,42.6384261,12.674297
Japan,1302,36.5748441,139.2394179
Kazakhstan,3855,48.1012954,66.7780818
Kyrgyzstan,14500,41.5089324,74.724091
Latvia,1000,56.8406494,24.7537645
Lithuania,1000,55.3500003,23.7499997
Luxembourg,2,49.6112768,6.129799
Malaysia,3331,4.5693754,102.2656823
Malta,450,35.8885993,14.4476911
Mauritius,147,-20.2759451,57.5703566
Mexico,108,23.6585116,-102.0077097
Moldova,705,47.2879608,28.5670941
Nepal,2300,28.3780464,83.9999901
Netherlands,3200,52.2434979,5.6343227
New Zealand,2664,-41.5000831,172.8344077
Norway,480,64.5731537,11.52803643954819
Oman,39550,21.0000287,57.0036901
Panama,191,8.559559,-81.1308434
Philippines,15000,12.7503486,122.7312101
Poland,5000,52.215933,19.134422
Portugal,19,39.6621648,-8.1353519
Qatar,46000,25.3336984,51.2295295
Republic of Korea,1364,36.638392,127.6961188
Romania,805,45.9852129,24.6859225
Russia Federation,18039,64.6863136,97.7453061
Saudi Arabia,65800,25.6242618,42.3528328
Serbia,5,44.024322850000004,21.07657433209902
Singapore,10000,1.357107,103.8194992
Slovakia,202,48.7411522,19.4528646
Slovenia,36,46.1199444,14.8153333
South Africa,335,-28.8166236,24.991639
Spain,1383,39.3260685,-4.8379791
Sri Lanka,68,7.5554942,80.7137847
Sudan,3,34.0678644,-102.524362
Sweden,2500,59.6749712,14.5208584
Switzerland,3980,46.7985624,8.2319736
Taiwan,2239,23.5983227,120.83537694479215
Tajikistan,1250,38.6281733,70.8156541
Thailand,364,14.8971921,100.83273
Turkey,193,39.294076,35.2316631
United Arab Emirates,164000,24.0002488,53.9994829
United Kingdom,55465,54.7023545,-3.2765753
United States,465791,39.7837304,-100.445882
Uzbekistan,250,41.32373,63.9528098
Venezuela,93,8.0018709,-66.1109318
Vietnam,4,15.9266657,107.9650855
