Country,Number_of_Students
Armenia,8015
Australia,100009
Austria,350
Azerbaijan,119
Bangladesh,9308
Belarus,793
Belgium,766
Botswana,200
Brazil,6
Brunei Darussalam,38
Bulgaria,357
Canada,183310
China,6436
Cuba,1
Cyprus,1961
Czech Republic,1500
Denmark,413
Egypt,400
Estonia,138
Finland,519
France,10003
Georgia,14000
Germany,34864
Greece,48
Guyana,498
Hong Kong,815
Hungary,932
Iceland,16
Indonesia,1
Iran,2050
Ireland,5000
Israel,1218
Italy,5897
Japan,1302
Kazakhstan,3855
Kyrgyzstan,14500
Latvia,1000
Lithuania,1000
Luxembourg,2
Malaysia,3331
Malta,450
Mauritius,147
Mexico,108
Moldova,705
Nepal,2300
Netherlands,3200
New Zealand,2664
Norway,480
Oman,39550
Panama,191
Philippines,15000
Poland,5000
Portugal,19
Qatar,46000
Republic of Korea,1364
Romania,805
Russia Federation,18039
Saudi Arabia,65800
Serbia,5
Singapore,10000
Slovakia,202
Slovenia,36
South Africa,335
Spain,1383
Sri Lanka,68
Sudan,3
Sweden,2500
Switzerland,3980
Taiwan,2239
Tajikistan,1250
Thailand,364
Turkey,193
United Arab Emirates,164000
United Kingdom,55465
USA,465791
Uzbekistan,250
Venezuela,93
Vietnam,4
